Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","CP_Radial_D5.0mm_P2.00mm",94.500000,-75.500000,180.000000,top
"C2","10uF","CP_Radial_D5.0mm_P2.00mm",86.500000,-75.500000,180.000000,top
"C3","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",98.500000,-84.000000,0.000000,top
"C4","4.7nF","C_Disc_D5.0mm_W2.5mm_P2.50mm",104.175000,-75.500000,-90.000000,top
"C5","2.2uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",140.000000,-81.000000,-90.000000,top
"C6","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",135.000000,-81.500000,90.000000,top
"D1","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",84.420000,-69.000000,0.000000,top
"D2","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",94.580000,-82.000000,180.000000,top
"J1","Eurorack style bus","PinHeader_2x08_P2.54mm_Vertical",76.000000,-73.220000,0.000000,top
"J2","Input breakout","PinHeader_1x03_P2.54mm_Vertical",91.040000,-102.000000,-90.000000,top
"J4","Output breakout","PinHeader_1x03_P2.54mm_Vertical",165.040000,-102.500000,-90.000000,top
"Q1","BC557","TO-92_Inline",129.500000,-79.500000,90.000000,top
"Q2","BC547","TO-92_Inline",139.460000,-94.500000,0.000000,top
"Q3","BC547","TO-92_Inline",112.960000,-95.500000,0.000000,top
"Q4","BC547","TO-92_Inline",112.960000,-89.500000,0.000000,top
"Q5","BC557","TO-92_Inline",122.500000,-79.500000,90.000000,top
"Q6","BC547","TO-92_Inline",146.230000,-94.360000,0.000000,top
"Q7","BC547","TO-92_Inline",177.000000,-96.500000,180.000000,top
"R1","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",83.920000,-88.500000,0.000000,top
"R2","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",98.420000,-88.500000,0.000000,top
"R3","22K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",99.000000,-68.420000,-90.000000,top
"R4","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",130.580000,-95.500000,180.000000,top
"R5","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",120.420000,-85.500000,0.000000,top
"R6","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",120.920000,-73.000000,0.000000,top
"R7","6.8K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",135.000000,-95.580000,90.000000,top
"R8","6.8K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",130.500000,-90.500000,180.000000,top
"R9","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",176.500000,-88.580000,90.000000,top
"R10","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",134.420000,-73.000000,0.000000,top
"R11","6.8K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",148.420000,-73.000000,0.000000,top
"R12","22K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",139.500000,-77.000000,0.000000,top
"R13","6.8K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",138.920000,-88.000000,0.000000,top
"R14","6.8K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",153.420000,-93.000000,0.000000,top
"R15","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",131.080000,-69.000000,180.000000,top
"R16","100K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",153.420000,-97.500000,0.000000,top
"R17","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",181.500000,-96.080000,90.000000,top
"R18","100K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",181.500000,-82.580000,90.000000,top
"R19","6.8K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",153.420000,-88.000000,0.000000,top
"RV1","2.2M","PinHeader_1x03_P2.54mm_Vertical",116.000000,-102.500000,-90.000000,top
"RV2","2.2M","PinHeader_1x03_P2.54mm_Vertical",125.420000,-102.500000,90.000000,top
"RV3","100K","PinHeader_1x03_P2.54mm_Vertical",155.500000,-82.525000,180.000000,top
"RV4","2.2M","PinHeader_1x03_P2.54mm_Vertical",141.920000,-102.500000,90.000000,top
"U1","4001","DIP-14_W7.62mm_LongPads",108.675000,-68.800000,0.000000,top
"U2","CA3240E","DIP-8_W7.62mm_LongPads",163.675000,-72.700000,0.000000,top
